PlayerMatch_key,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposite_Team,Season_year,is_manofThematch,Age_As_on_match,IsPlayers_Team_won,Player_Captain,Opposite_captain,Player_keeper,Opposite_keeper
33598800017,335988,17,PA Patel,3/9/1985,Left-hand bat,N/A,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,23,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800018,335988,18,ML Hayden,10/29/1971,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,0,37,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800019,335988,19,MEK Hussey,5/27/1975,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,1,33,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800020,335988,20,MS Dhoni,7/7/1981,Right-hand bat,Right-arm medium,India,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,2008,0,27,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800021,335988,21,SK Raina,11/27/1986,Left-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,22,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800022,335988,22,JDP Oram,7/28/1978,Left-hand bat,Right-arm fast-medium,New Zealand,Player,Chennai Super Kings,Kings XI Punjab,2008,0,30,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800023,335988,23,S Badrinath,8/30/1980,Right-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,28,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800119,335988,119,Joginder Sharma,10/23/1983,Right-hand bat,Right-arm fast-medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,25,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800120,335988,120,MS Gony,1/4/1984,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,24,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800121,335988,121,M Muralitharan,4/17/1972,Right-hand bat,Right-arm offbreak,Sri Lanka,Player,Chennai Super Kings,Kings XI Punjab,2008,0,36,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598800435,335988,435,P Amarnath,6/1/1982,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,0,26,1,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
33598900040,335989,40,G Gambhir,10/14/1981,Left-hand bat,Legbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,27,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900041,335989,41,V Sehwag,10/20/1978,Right-hand bat,Right-arm offbreak,India,Captain,Delhi Daredevils,Rajasthan Royals,2008,0,30,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900042,335989,42,S Dhawan,12/5/1985,Left-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900087,335989,87,MK Tiwary,11/14/1985,Right-hand bat,Legbreak googly,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900088,335989,88,KD Karthik,6/1/1985,Right-hand bat,N/A,India,Keeper,Delhi Daredevils,Rajasthan Royals,2008,0,23,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900089,335989,89,R Bhatia,10/22/1979,Right-hand bat,Right-arm medium-fast,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900090,335989,90,MF Maharoof,9/7/1984,Right-hand bat,Right-arm fast-medium,India,Player,Delhi Daredevils,Rajasthan Royals,2008,1,24,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900118,335989,118,GD McGrath,2/9/1970,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,0,38,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900171,335989,171,M Manhas,10/12/1979,Right-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900175,335989,175,DL Vettori,1/27/1979,Left-hand bat,Slow left-arm orthodox,New Zealand,Player,Delhi Daredevils,Rajasthan Royals,2008,0,29,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900436,335989,436,B Geeves,6/13/1982,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,0,26,1,V Sehwag,SK Warne,KD Karthik,M Rawat
33598900030,335989,30,T Kohli,12/17/1988,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,20,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900031,335989,31,YK Pathan,11/17/1982,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900032,335989,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,0,27,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900033,335989,33,M Kaif,12/1/1980,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,28,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900034,335989,34,DS Lehmann,2/5/1970,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,0,38,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900035,335989,35,RA Jadeja,12/6/1988,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,20,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900036,335989,36,M Rawat,10/25/1985,Right-hand bat,N/A,India,Keeper,Rajasthan Royals,Delhi Daredevils,2008,0,23,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900037,335989,37,D Salunkhe,11/12/1982,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900038,335989,38,SK Warne,9/13/1969,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Delhi Daredevils,2008,0,39,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900039,335989,39,SK Trivedi,9/4/1982,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,26,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33598900126,335989,126,MM Patel,7/12/1983,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Delhi Daredevils,2008,0,25,0,SK Warne,V Sehwag,M Rawat,KD Karthik
33599000043,335990,43,L Ronchi,4/23/1981,Right-hand bat,N/A,Australia,Keeper,Mumbai Indians,Royal Challengers Bangalore,2008,0,27,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000044,335990,44,ST Jayasuriya,6/30/1969,Left-hand bat,Slow left-arm orthodox,Sri Lanka,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,39,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000045,335990,45,DJ Thornely,10/1/1978,Right-hand bat,Right-arm medium,Australia,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,30,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000046,335990,46,RV Uthappa,11/11/1985,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,23,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000047,335990,47,PR Shah,11/3/1987,Right-hand bat,N/A,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,21,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000048,335990,48,AM Nayar,10/8/1983,Left-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,25,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000049,335990,49,SM Pollock,7/16/1973,Right-hand bat,Right-arm fast-medium,South Africa,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,35,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000050,335990,50,Harbhajan Singh,7/3/1980,Right-hand bat,Right-arm offbreak,India,Captain,Mumbai Indians,Royal Challengers Bangalore,2008,0,28,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000072,335990,72,MA Khote,4/22/1980,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,28,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000073,335990,73,A Nehra,4/29/1979,Right-hand bat,Left-arm medium-fast,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,29,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000080,335990,80,DS Kulkarni,12/10/1988,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,0,20,0,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
33599000006,335990,6,R Dravid,1/11/1973,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Mumbai Indians,2008,0,35,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000008,335990,8,V Kohli,11/5/1988,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,20,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000009,335990,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,33,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000011,335990,11,MV Boucher,12/3/1976,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Mumbai Indians,2008,1,32,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000012,335990,12,B Akhil,10/7/1977,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,31,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000014,335990,14,P Kumar,10/2/1986,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,22,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000015,335990,15,Z Khan,10/7/1978,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,30,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000016,335990,16,SB Joshi,6/6/1970,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,38,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000051,335990,51,S Chanderpaul,8/16/1974,Left-hand bat,Legbreak,West Indies,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,34,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000052,335990,52,LRPL Taylor,3/8/1984,Right-hand bat,Right-arm offbreak,New Zealand,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,24,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599000081,335990,81,R Vinay Kumar,2/12/1984,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,0,24,1,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
33599100053,335991,53,AC Gilchrist,11/14/1971,Left-hand bat,Right-arm offbreak,Australia,Keeper,Deccan Chargers,Kolkata Knight Riders,2008,0,37,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100054,335991,54,Y Venugopal Rao,2/26/1982,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,26,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100055,335991,55,VVS Laxman,11/1/1974,Right-hand bat,Right-arm offbreak,India,Captain,Deccan Chargers,Kolkata Knight Riders,2008,0,34,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100056,335991,56,A Symonds,6/9/1975,Right-hand bat,Right-arm offbreak,Australia,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,33,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100057,335991,57,RG Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,21,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100058,335991,58,SB Styris,7/10/1975,Right-hand bat,Right-arm medium,New Zealand,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,33,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100059,335991,59,SB Bangar,10/11/1972,Right-hand bat,Right-arm medium-fast,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,36,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100060,335991,60,WPUJC Vaas,1/27/1974,Left-hand bat,Left-arm fast-medium,Sri Lanka,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,34,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100061,335991,61,RP Singh,12/6/1985,Right-hand bat,Left-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,23,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100131,335991,131,PP Ojha,9/5/1986,Left-hand bat,Slow left-arm orthodox,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,22,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100232,335991,232,UT Yadav,10/25/1987,Right-hand bat,Right-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,0,21,0,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
33599100001,335991,1,SC Ganguly,7/8/1972,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Deccan Chargers,2008,0,36,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100002,335991,2,BB McCullum,9/27/1981,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,27,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100003,335991,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,34,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100004,335991,4,DJ Hussey,7/15/1977,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,1,31,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100005,335991,5,Mohammad Hafeez,10/17/1980,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,28,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100062,335991,62,WP Saha,10/24/1984,Right-hand bat,N/A,India,Keeper,Kolkata Knight Riders,Deccan Chargers,2008,0,24,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100063,335991,63,LR Shukla,5/6/1981,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,27,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100082,335991,82,AB Agarkar,12/4/1977,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,31,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100083,335991,83,M Kartik,9/11/1976,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,32,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100084,335991,84,I Sharma,9/2/1988,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,20,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599100106,335991,106,AB Dinda,3/25/1984,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,0,24,1,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
33599200031,335992,31,YK Pathan,11/17/1982,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200032,335992,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,1,27,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200033,335992,33,M Kaif,12/1/1980,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,28,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200034,335992,34,DS Lehmann,2/5/1970,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,0,38,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200035,335992,35,RA Jadeja,12/6/1988,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,20,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200037,335992,37,D Salunkhe,11/12/1982,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200038,335992,38,SK Warne,9/13/1969,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Kings XI Punjab,2008,0,39,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200039,335992,39,SK Trivedi,9/4/1982,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200069,335992,69,Kamran Akmal,1/13/1982,Right-hand bat,N/A,Pakistan,Keeper,Rajasthan Royals,Kings XI Punjab,2008,0,26,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200075,335992,75,Pankaj Singh,5/6/1985,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,23,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200126,335992,126,MM Patel,7/12/1983,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,0,25,1,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
33599200024,335992,24,K Goel,12/24/1986,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,0,22,0,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
33599200025,335992,25,JR Hopes,10/24/1978,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Rajasthan Royals,2008,0,30,0,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
33599200026,335992,26,KC Sangakkara,10/27/1977,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Rajasthan Royals,2008,0,31,0,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
33599200027,335992,27,Yuvraj Singh,12/12/1981,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Rajasthan Royals,2008,0,27,0,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
33599200029,335992,29,IK Pathan,10/27/1984,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Rajasthan Royals,2008,0,24,0,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
